Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
17	70	2.26e-20	19.6	7.05	41	38	17	42.1	34.4	18.7	48.7	43	33	18	20.5
16	37	2.8e-12	11.6	4.98	39	12	5	38.2	11.8	3.5	32.1	34	10	3	16.3
15	22	5.96e-08	7.22	3.49	17	27	6	18	28.4	5.72	14.5	17	27	6	7.06
14	21	1.79e-07	6.75	4	43	42	11	42.3	41.7	9.91	37.4	44	40	9	15.7
13	17	4.23e-06	5.37	5.56	45	45	15	43.9	42.9	14.6	53	44	44	15	22.7
12	15	2.26e-05	4.64	5.81	38	17	15	39.1	16.7	14.8	23.2	38	17	15	14.5
11	14	5.39e-05	4.27	3.9	23	19	1	24	19.9	1.38	18.8	25	18	3	9.45
10	12	0.000325	3.49	3.86	35	35	21	34	35.5	22.2	30.2	33	36	23	14.6
9	11	0.000829	3.08	5.17	40	46	16	40.2	46.7	16.2	35.4	40	46	16	20.3
8	11	0.000829	3.08	4.27	32	47	7	33.3	45.1	8.29	26	32	47	7	13
7	10	0.00217	2.66	5.06	23	15	5	24.1	14.5	5.36	26.7	24	14	4	16.6
6	9	0.00588	2.23	4.39	46	20	7	46.6	19.6	7	18.8	46	19	7	14.3
5	8	0.0165	1.78	3.97	42	21	5	42.7	20.6	4.47	17.9	43	20	4	12.2
4	8	0.0165	1.78	6.61	41	12	11	40.6	12.4	10.5	26.5	40	12	11	16.5
3	7	0.0477	1.32	3.52	22	47	11	23.9	47.7	9.79	20.5	22	47	11	12.2
2	7	0.0477	1.32	3.77	37	32	29	38.3	32.6	29	36.7	36	32	29	20.9
1	7	0.0477	1.32	3.65	32	39	29	33.6	39.1	28.7	20.1	32	39	29	13.8
