Cluster Index	Z	x	y	z	
17	7.05	41	38	17
17	7.04	42	32	19
17	5.69	43	38	17
17	5.67	41	31	21
17	5.67	41	36	17
17	5.53	43	32	23
16	4.98	39	12	5
16	4.43	40	12	3
16	3.61	36	10	3
16	3.49	36	13	3
16	3.34	42	15	3
15	3.49	17	27	6
15	3.35	17	26	4
15	3.23	21	30	7
15	2.99	19	29	7
15	2.76	16	32	5
14	4	43	42	11
14	3.97	44	40	9
14	3.39	40	43	11
13	5.56	45	45	15
13	4.88	44	42	14
13	3.6	42	42	15
13	2.66	42	44	15
12	5.81	38	17	15
12	4.33	39	16	17
12	3.29	41	17	11
12	3.19	39	15	15
11	3.9	23	19	1
11	3.68	25	18	3
11	3.06	26	20	1
10	3.86	35	35	21
10	3.73	34	36	23
9	5.17	40	46	16
9	3.36	42	47	17
8	4.27	32	47	7
8	2.86	34	42	8
8	2.85	34	44	9
7	5.06	23	15	5
7	4.01	25	14	7
6	4.39	46	20	7
6	3.57	46	18	7
5	3.97	42	21	5
5	3.57	42	20	3
5	2.6	44	21	5
4	6.61	41	12	11
4	3.9	41	13	9
3	3.52	22	47	11
3	2.96	25	47	9
3	2.93	24	49	10
2	3.77	37	32	29
2	2.88	41	33	29
1	3.65	32	39	29
1	2.9	35	37	29
